xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
TOOL:	xrun	25.03-s001: Started on Jun 15, 2026 at 13:28:57 EDT
xrun
	-Q
	-unbuffered
	-timescale 1ns/1ns
	-sysv
	-access +rw
	design.sv
	testbench.sv
	Top level design units:
		i2c_tb
Loading snapshot worklib.i2c_tb:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
Time=0, scl=0, sda=zzzzzzzz, address=00, read=0, write=0, bit_counter= 0, adress_state=0, stop=0, start=0
Time=3490000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 0, adress_state=1, stop=1, start=1
Time=3510000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 1, adress_state=1, stop=1, start=1
Time=3530000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 2, adress_state=1, stop=1, start=1
Time=3550000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 3, adress_state=1, stop=1, start=1
Time=3570000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 4, adress_state=1, stop=1, start=1
Time=3590000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 5, adress_state=1, stop=1, start=1
Time=3610000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 6, adress_state=1, stop=1, start=1
Time=3630000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 7, adress_state=1, stop=1, start=1
Time=3650000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 8, adress_state=1, stop=1, start=1
Time=3670000, scl=1, sda=00000000, address=00, read=0, write=1, bit_counter= 9, adress_state=1, stop=1, start=0
Time=3690000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 0, adress_state=1, stop=1, start=0
Time=3710000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 1, adress_state=1, stop=1, start=0
Time=3730000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 2, adress_state=1, stop=1, start=0
Time=3750000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 3, adress_state=1, stop=1, start=0
Time=3770000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 4, adress_state=1, stop=1, start=0
Time=3790000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 5, adress_state=1, stop=1, start=0
Time=3810000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 6, adress_state=1, stop=1, start=0
Time=3830000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 7, adress_state=1, stop=1, start=0
Time=3850000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 8, adress_state=1, stop=1, start=0
Time=3870000, scl=0, sda=00000000, address=00, read=0, write=0, bit_counter= 0, adress_state=1, stop=1, start=0
Time=3890000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 0, adress_state=1, stop=1, start=1
Time=3910000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 1, adress_state=1, stop=1, start=1
Time=3930000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 2, adress_state=1, stop=1, start=1
Time=3950000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 3, adress_state=1, stop=1, start=1
Time=3970000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 4, adress_state=1, stop=1, start=1
Time=3990000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 5, adress_state=1, stop=1, start=1
Time=4010000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 6, adress_state=1, stop=1, start=1
Time=4030000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 7, adress_state=1, stop=1, start=1
Time=4050000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 8, adress_state=1, stop=1, start=1
Time=4070000, scl=1, sda=00000000, address=00, read=0, write=1, bit_counter= 9, adress_state=1, stop=1, start=0
Time=4090000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 0, adress_state=1, stop=1, start=0
Time=4110000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 1, adress_state=1, stop=1, start=0
Time=4130000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 2, adress_state=1, stop=1, start=0
Time=4150000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 3, adress_state=1, stop=1, start=0
Time=4170000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 4, adress_state=1, stop=1, start=0
Time=4190000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 5, adress_state=1, stop=1, start=0
Time=4210000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 6, adress_state=1, stop=1, start=0
Time=4230000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 7, adress_state=1, stop=1, start=0
Time=4250000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 8, adress_state=1, stop=1, start=0
Time=4270000, scl=0, sda=zzzzzzzz, address=00, read=0, write=0, bit_counter= 0, adress_state=1, stop=1, start=0
Time=4290000, scl=1, sda=zzzzzzzz, address=00, read=0, write=0, bit_counter= 0, adress_state=1, stop=1, start=x
Time=4310000, scl=1, sda=zzzzzzzz, address=00, read=0, write=0, bit_counter= 0, adress_state=0, stop=1, start=x

=== Test 3: Data Write ===
Time=4450000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 0, adress_state=0, stop=1, start=1
Time=4470000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 1, adress_state=0, stop=1, start=1
Time=4490000, scl=0, sda=00000000, address=00, read=0, write=0, bit_counter= 2, adress_state=0, stop=1, start=0
